################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6757222096039246E+00 a       154     0    11     1     4
  1.2405490927855253E-01 a       155     0    11     1     5
  1.0336646561965095E+00 a       156     0    11     1     6
 -5.9435402712943508E-02 a       157     0    11     1     7
  1.7222662250577137E-01 a       158     0    11     1     8
  1.7320818964873588E-01 a       159     0    11     1     9
 -4.5720936862003936E-01 a       160     0    11     1    10
 -1.0013125416011133E+00 a       161     0    11     1    11
  9.5541905749537293E-01 a       162     0    11     1    12
  3.5490487472209231E-01 a       163     0    11     1    13
 -1.2477189392833368E+00 a       164     0    11     1    14
 -1.2290816412007057E+00 a       165     0    11     1    15
 -8.0797034983880123E-01 a       166     0    12     1     1
  1.2129503817223246E+00 a       167     0    12     1     2
 -8.9066065168536357E-01 a       168     0    12     1     3
  1.5321483096410824E+00 a       169     0    12     1     4
 -3.7052693688818927E-01 a       170     0    12     1     5
 -7.2722096818363891E-01 a       171     0    12     1     6
 -4.7830582262779577E+00 a       172     0    12     1     7
 -5.9503763556739075E-01 a       173     0    12     1     8
 -1.3869338568127496E+00 a       174     0    12     1     9
  8.0748246074600349E-01 a       175     0    12     1    10
  1.8846037279371060E+00 a       176     0    12     1    11
  1.6452141185092086E+00 a       177     0    12     1    12
  1.6011298782067118E+00 a       178     0    12     1    13
  1.4647148453364056E+00 a       179     0    12     1    14
  3.6091369691195574E-01 a       180     0    12     1    15
 -1.5641028347618724E+00 a       181     0    13     1     1
 -2.2546368516230719E-01 a       182     0    13     1     2
  1.2214653844518870E+00 a       183     0    13     1     3
  5.5381015451855351E+00 a       184     0    13     1     4
 -8.1054874063638627E-01 a       185     0    13     1     5
  2.3248900789375507E-01 a       186     0    13     1     6
  3.0608066894612851E-01 a       187     0    13     1     7
 -2.1723228295029529E+00 a       188     0    13     1     8
 -4.1997828599524600E-01 a       189     0    13     1     9
